PAIS,categoria,tasa_part,tasa_seg,tasa_reg,tasa_temp,variable_interes
Costa Rica,Media,0.06333068339573965,0.2262416249046737,0.2262416249046737,0.03220775962749449,CALIF
Dinamarca,Alta,0.016214077902127595,NA,NA,0.031201906038902764,CALIF
Dinamarca,Baja,0.061155011417694326,NA,NA,0.08305323357578749,CALIF
Dinamarca,Media,0.0403265108836086,NA,NA,0.041605651502687226,CALIF
Ecuador,Alta,0.3437292360693864,0.4321761734566719,NA,NA,CALIF
Ecuador,Baja,0.3755078542120245,0.899897805241386,NA,NA,CALIF
Ecuador,Media,0.3275474610101981,0.8731633370602521,NA,NA,CALIF
El Salvador,Alta,0.1906228942339565,0.2409550647875013,0.12081206183527012,0.1679977343884111,CALIF
El Salvador,Baja,0.22984224189694982,0.2331289841474442,0.3526043864415904,0.43222768892950136,CALIF
El Salvador,Media,0.31297517502812106,0.3918360601053308,0.4443691361356931,0.4924598456840672,CALIF
España,Alta,0.054111087815641994,NA,NA,0.14504012820784581,CALIF
España,Baja,0.2158917584034072,NA,NA,0.36348796398717553,CALIF
España,Media,0.08483184269073793,NA,NA,0.21318824883466633,CALIF
Estados Unidos,Alta,0.0501111002054302,NA,NA,NA,CALIF
Estados Unidos,Baja,0.13336522335091391,NA,NA,NA,CALIF
Estados Unidos,Media,0.10601689255037401,NA,NA,NA,CALIF
Francia,Alta,0.033007667756530454,NA,NA,0.0579190478414404,CALIF
Francia,Baja,0.25592265981644097,NA,NA,0.14693771983488,CALIF
Francia,Media,0.07724559873745342,NA,NA,0.1085312700954005,CALIF
Grecia,Alta,0.04421790314215707,NA,NA,0.05816593994660215,CALIF
Grecia,Baja,0.159779819636801,NA,NA,0.20680607685137092,CALIF
Grecia,Media,0.09412141230461955,NA,NA,0.0763088426945045,CALIF
Guatemala,Alta,0.004967142544688128,0.22769446046169448,0.16457310162448055,0.13069535803218407,CALIF
Guatemala,Baja,0.047813904455418076,0.8239749209343616,0.8344367514525091,0.1734759217479249,CALIF
Guatemala,Media,0.017343844361655796,0.5880360146817629,0.5789303425798649,0.0780187658468048,CALIF
Italia,Alta,0.054560061092822444,NA,NA,0.09216889810635787,CALIF
Italia,Baja,0.29541590560697734,NA,NA,0.23947736879439718,CALIF
Italia,Media,0.1436187863782467,NA,NA,0.14026403703025134,CALIF
México,Alta,0.01064575781395796,0.2659758164610529,0.14376187250350514,0.27174790245201147,CALIF
México,Baja,0.042525851068288635,0.7902731731589887,0.7518306969127491,0.809464447917,CALIF
México,Media,0.01405686650206195,0.4883045207709723,0.41536408180953555,0.5207545057115159,CALIF
Noruega,Alta,0.014815675124695239,NA,NA,0.03582104654549375,CALIF
Noruega,Baja,0.0771851008299162,NA,NA,0.04950074286920543,CALIF
Noruega,Media,0.060236378363140726,NA,NA,0.03985131648997454,CALIF
Paraguay,Alta,0.1265781802563583,0.304674935048868,0.10843623762812321,0.21096337704248683,CALIF
Paraguay,Baja,0.14162881857750007,0.8012756519678753,0.7412366024762811,0.08896340265059487,CALIF
Paraguay,Media,0.04447045774707389,0.6015140971105263,0.4790878809357793,0.14455128044880608,CALIF
Países Bajos,Alta,0.023958025454998307,NA,NA,0.04375166255564842,CALIF
Países Bajos,Baja,0.05243642682351423,NA,NA,0.08332709642748522,CALIF
Países Bajos,Media,0.04241858411926155,NA,NA,0.06875567045750698,CALIF
Peru,Alta,0.06442933255976856,0.14956250974139254,0.10180577945936757,0.4535400486037074,CALIF
